Iterations [0/25500], Train Loss: 1.001415, Validation Loss: 1.000758
Iterations [1080/25500], Train Loss: 0.807783, Validation Loss: 0.812226
Iterations [1090/25500], Train Loss: 0.809703, Validation Loss: 0.812858
Iterations [1100/25500], Train Loss: 0.805951, Validation Loss: 0.814463
Iterations [1110/25500], Train Loss: 0.810647, Validation Loss: 0.808269
Iterations [1120/25500], Train Loss: 0.806271, Validation Loss: 0.803568
Iterations [1130/25500], Train Loss: 0.804559, Validation Loss: 0.815610
Iterations [1140/25500], Train Loss: 0.803571, Validation Loss: 0.804211
Iterations [1150/25500], Train Loss: 0.799263, Validation Loss: 0.804329
Iterations [1160/25500], Train Loss: 0.794025, Validation Loss: 0.799808
Iterations [1170/25500], Train Loss: 0.801612, Validation Loss: 0.792426
Iterations [1180/25500], Train Loss: 0.798970, Validation Loss: 0.803619
Iterations [1190/25500], Train Loss: 0.800130, Validation Loss: 0.794604
Iterations [1200/25500], Train Loss: 0.795070, Validation Loss: 0.795670
Iterations [1210/25500], Train Loss: 0.781316, Validation Loss: 0.795988
Iterations [1220/25500], Train Loss: 0.784442, Validation Loss: 0.777666
Iterations [1230/25500], Train Loss: 0.785256, Validation Loss: 0.780056
Iterations [1240/25500], Train Loss: 0.781623, Validation Loss: 0.782104
Iterations [1250/25500], Train Loss: 0.787525, Validation Loss: 0.783527
Iterations [1260/25500], Train Loss: 0.774987, Validation Loss: 0.779685
Iterations [1270/25500], Train Loss: 0.775719, Validation Loss: 0.774661
Iterations [1280/25500], Train Loss: 0.781894, Validation Loss: 0.774337
Iterations [1290/25500], Train Loss: 0.778969, Validation Loss: 0.778569
Iterations [1300/25500], Train Loss: 0.772830, Validation Loss: 0.771022
Iterations [1310/25500], Train Loss: 0.782832, Validation Loss: 0.777614
Iterations [1320/25500], Train Loss: 0.766670, Validation Loss: 0.767450
Iterations [1330/25500], Train Loss: 0.770751, Validation Loss: 0.762404
Iterations [1340/25500], Train Loss: 0.766738, Validation Loss: 0.766444
Iterations [1350/25500], Train Loss: 0.764677, Validation Loss: 0.768203
Iterations [1360/25500], Train Loss: 0.761602, Validation Loss: 0.755034
Iterations [1370/25500], Train Loss: 0.754794, Validation Loss: 0.765732
Iterations [1380/25500], Train Loss: 0.761141, Validation Loss: 0.757560
Iterations [1390/25500], Train Loss: 0.758188, Validation Loss: 0.760741
Iterations [1400/25500], Train Loss: 0.748338, Validation Loss: 0.764968
Iterations [1410/25500], Train Loss: 0.753124, Validation Loss: 0.753602
Iterations [1420/25500], Train Loss: 0.751593, Validation Loss: 0.746691
Iterations [1430/25500], Train Loss: 0.747962, Validation Loss: 0.747349
Iterations [1440/25500], Train Loss: 0.758303, Validation Loss: 0.741774
Iterations [1450/25500], Train Loss: 0.747653, Validation Loss: 0.745931
Iterations [1460/25500], Train Loss: 0.740469, Validation Loss: 0.752550
Iterations [1470/25500], Train Loss: 0.739582, Validation Loss: 0.732044
Iterations [1480/25500], Train Loss: 0.743059, Validation Loss: 0.735170
Iterations [1490/25500], Train Loss: 0.733223, Validation Loss: 0.735288
Iterations [1500/25500], Train Loss: 0.734280, Validation Loss: 0.747557
Iterations [1510/25500], Train Loss: 0.742416, Validation Loss: 0.750559
Iterations [1520/25500], Train Loss: 0.741535, Validation Loss: 0.745072
Iterations [1530/25500], Train Loss: 0.728175, Validation Loss: 0.731711
Iterations [1540/25500], Train Loss: 0.723454, Validation Loss: 0.734543
Iterations [1550/25500], Train Loss: 0.725519, Validation Loss: 0.726647
Iterations [1560/25500], Train Loss: 0.724139, Validation Loss: 0.726478
Iterations [1570/25500], Train Loss: 0.721897, Validation Loss: 0.726023
Iterations [1580/25500], Train Loss: 0.726611, Validation Loss: 0.723157
Iterations [1590/25500], Train Loss: 0.725736, Validation Loss: 0.710659
Iterations [1600/25500], Train Loss: 0.706979, Validation Loss: 0.719642
Iterations [1610/25500], Train Loss: 0.722824, Validation Loss: 0.713137
Iterations [1620/25500], Train Loss: 0.718515, Validation Loss: 0.728375
Iterations [1630/25500], Train Loss: 0.709873, Validation Loss: 0.729986
Iterations [1640/25500], Train Loss: 0.717700, Validation Loss: 0.708194
Iterations [1650/25500], Train Loss: 0.709671, Validation Loss: 0.710792
Iterations [1660/25500], Train Loss: 0.707857, Validation Loss: 0.716745
Iterations [1670/25500], Train Loss: 0.700411, Validation Loss: 0.712865
Iterations [1680/25500], Train Loss: 0.702469, Validation Loss: 0.723395
Iterations [1690/25500], Train Loss: 0.707584, Validation Loss: 0.708002
Iterations [1700/25500], Train Loss: 0.707867, Validation Loss: 0.707385
Iterations [1710/25500], Train Loss: 0.703254, Validation Loss: 0.703195
Iterations [1720/25500], Train Loss: 0.709821, Validation Loss: 0.697046
Iterations [1730/25500], Train Loss: 0.706737, Validation Loss: 0.701247
Iterations [1740/25500], Train Loss: 0.701005, Validation Loss: 0.698912
Iterations [1750/25500], Train Loss: 0.694665, Validation Loss: 0.702650
Iterations [1760/25500], Train Loss: 0.694060, Validation Loss: 0.695857
Iterations [1770/25500], Train Loss: 0.705571, Validation Loss: 0.698809
Iterations [1780/25500], Train Loss: 0.694456, Validation Loss: 0.691155
Iterations [1790/25500], Train Loss: 0.693445, Validation Loss: 0.691954
Iterations [1800/25500], Train Loss: 0.682827, Validation Loss: 0.677526
Iterations [1810/25500], Train Loss: 0.693459, Validation Loss: 0.685225
Iterations [1820/25500], Train Loss: 0.689997, Validation Loss: 0.694963
Iterations [1830/25500], Train Loss: 0.675161, Validation Loss: 0.685287
Iterations [1840/25500], Train Loss: 0.691809, Validation Loss: 0.669864
Iterations [1850/25500], Train Loss: 0.671216, Validation Loss: 0.677505
Iterations [1860/25500], Train Loss: 0.679584, Validation Loss: 0.677384
Iterations [1870/25500], Train Loss: 0.698926, Validation Loss: 0.678232
Iterations [1880/25500], Train Loss: 0.678921, Validation Loss: 0.661749
Iterations [1890/25500], Train Loss: 0.681780, Validation Loss: 0.668892
Iterations [1900/25500], Train Loss: 0.683663, Validation Loss: 0.678931
Iterations [1910/25500], Train Loss: 0.672444, Validation Loss: 0.682069
Iterations [1920/25500], Train Loss: 0.671555, Validation Loss: 0.662019
Iterations [1930/25500], Train Loss: 0.659893, Validation Loss: 0.661445
Iterations [1940/25500], Train Loss: 0.663132, Validation Loss: 0.655953
Iterations [1950/25500], Train Loss: 0.676570, Validation Loss: 0.663770
Iterations [1960/25500], Train Loss: 0.664683, Validation Loss: 0.667253
Iterations [1970/25500], Train Loss: 0.647923, Validation Loss: 0.665669
Iterations [1980/25500], Train Loss: 0.649580, Validation Loss: 0.665453
Iterations [1990/25500], Train Loss: 0.656636, Validation Loss: 0.656759
Iterations [2000/25500], Train Loss: 0.666297, Validation Loss: 0.653703
Iterations [2010/25500], Train Loss: 0.658082, Validation Loss: 0.661743
Iterations [2020/25500], Train Loss: 0.664705, Validation Loss: 0.655932
Iterations [2030/25500], Train Loss: 0.653648, Validation Loss: 0.644349
Iterations [2040/25500], Train Loss: 0.643286, Validation Loss: 0.669065
Iterations [2050/25500], Train Loss: 0.657286, Validation Loss: 0.655151
Iterations [2060/25500], Train Loss: 0.653816, Validation Loss: 0.654569
Iterations [2070/25500], Train Loss: 0.665213, Validation Loss: 0.645352
Iterations [2080/25500], Train Loss: 0.640545, Validation Loss: 0.647439
Iterations [2090/25500], Train Loss: 0.657004, Validation Loss: 0.648717
Iterations [2100/25500], Train Loss: 0.636458, Validation Loss: 0.638987
Iterations [2110/25500], Train Loss: 0.635379, Validation Loss: 0.645398
Iterations [2120/25500], Train Loss: 0.627017, Validation Loss: 0.626380
Iterations [2130/25500], Train Loss: 0.628531, Validation Loss: 0.618575
Iterations [2140/25500], Train Loss: 0.629639, Validation Loss: 0.626774
Iterations [2150/25500], Train Loss: 0.615023, Validation Loss: 0.633419
Iterations [2160/25500], Train Loss: 0.630769, Validation Loss: 0.637238
Iterations [2170/25500], Train Loss: 0.616327, Validation Loss: 0.643751
Iterations [2180/25500], Train Loss: 0.630932, Validation Loss: 0.630576
Iterations [2190/25500], Train Loss: 0.616400, Validation Loss: 0.614964
Iterations [2200/25500], Train Loss: 0.625338, Validation Loss: 0.622839
Iterations [2210/25500], Train Loss: 0.615525, Validation Loss: 0.624764
Iterations [2220/25500], Train Loss: 0.617821, Validation Loss: 0.610042
Iterations [2230/25500], Train Loss: 0.643119, Validation Loss: 0.622385
Iterations [2240/25500], Train Loss: 0.590132, Validation Loss: 0.619214
Iterations [2250/25500], Train Loss: 0.602187, Validation Loss: 0.626755
Iterations [2260/25500], Train Loss: 0.613033, Validation Loss: 0.603031
Iterations [2270/25500], Train Loss: 0.608040, Validation Loss: 0.598993
Iterations [2280/25500], Train Loss: 0.621132, Validation Loss: 0.609972
Iterations [2290/25500], Train Loss: 0.611319, Validation Loss: 0.617923
Iterations [2300/25500], Train Loss: 0.612709, Validation Loss: 0.618762
Iterations [2310/25500], Train Loss: 0.601929, Validation Loss: 0.602740
Iterations [2320/25500], Train Loss: 0.596439, Validation Loss: 0.614874
Iterations [2330/25500], Train Loss: 0.608829, Validation Loss: 0.597295
Iterations [2340/25500], Train Loss: 0.606857, Validation Loss: 0.608794
Iterations [2350/25500], Train Loss: 0.610599, Validation Loss: 0.598216
Iterations [2360/25500], Train Loss: 0.603956, Validation Loss: 0.603002
Iterations [2370/25500], Train Loss: 0.600456, Validation Loss: 0.616985
Iterations [2380/25500], Train Loss: 0.607451, Validation Loss: 0.597613
Iterations [2390/25500], Train Loss: 0.593775, Validation Loss: 0.598741
Iterations [2400/25500], Train Loss: 0.595045, Validation Loss: 0.586675
Iterations [2410/25500], Train Loss: 0.581302, Validation Loss: 0.598016
Iterations [2420/25500], Train Loss: 0.598462, Validation Loss: 0.576011
Iterations [2430/25500], Train Loss: 0.598949, Validation Loss: 0.599485
Iterations [2440/25500], Train Loss: 0.601575, Validation Loss: 0.584927
Iterations [2450/25500], Train Loss: 0.573914, Validation Loss: 0.577221
Iterations [2460/25500], Train Loss: 0.571782, Validation Loss: 0.580651
Iterations [2470/25500], Train Loss: 0.577179, Validation Loss: 0.557768
Iterations [2480/25500], Train Loss: 0.591067, Validation Loss: 0.573366
Iterations [2490/25500], Train Loss: 0.581139, Validation Loss: 0.598770
Iterations [2500/25500], Train Loss: 0.577802, Validation Loss: 0.587096
Iterations [2510/25500], Train Loss: 0.572034, Validation Loss: 0.569693
Iterations [2520/25500], Train Loss: 0.584589, Validation Loss: 0.574215
Iterations [2530/25500], Train Loss: 0.566134, Validation Loss: 0.573094
Iterations [2540/25500], Train Loss: 0.571899, Validation Loss: 0.557722
Iterations [2550/25500], Train Loss: 0.566833, Validation Loss: 0.565882
Iterations [2560/25500], Train Loss: 0.564923, Validation Loss: 0.583024
Iterations [2570/25500], Train Loss: 0.562921, Validation Loss: 0.574677
Iterations [2580/25500], Train Loss: 0.557766, Validation Loss: 0.564343
Iterations [2590/25500], Train Loss: 0.558850, Validation Loss: 0.567412
Iterations [2600/25500], Train Loss: 0.574335, Validation Loss: 0.563941
Iterations [2610/25500], Train Loss: 0.568871, Validation Loss: 0.571211
Iterations [2620/25500], Train Loss: 0.562005, Validation Loss: 0.553059
Iterations [2630/25500], Train Loss: 0.564189, Validation Loss: 0.562441
Iterations [2640/25500], Train Loss: 0.553421, Validation Loss: 0.562788
Iterations [2650/25500], Train Loss: 0.554965, Validation Loss: 0.582913
Iterations [2660/25500], Train Loss: 0.555253, Validation Loss: 0.565378
Iterations [2670/25500], Train Loss: 0.556643, Validation Loss: 0.561532
Iterations [2680/25500], Train Loss: 0.554069, Validation Loss: 0.548132
Iterations [2690/25500], Train Loss: 0.554354, Validation Loss: 0.566487
Iterations [2700/25500], Train Loss: 0.539681, Validation Loss: 0.545899
Iterations [2710/25500], Train Loss: 0.554933, Validation Loss: 0.543497
Iterations [2720/25500], Train Loss: 0.544750, Validation Loss: 0.541889
Iterations [2730/25500], Train Loss: 0.554702, Validation Loss: 0.551032
Iterations [2740/25500], Train Loss: 0.536691, Validation Loss: 0.547943
Iterations [2750/25500], Train Loss: 0.542408, Validation Loss: 0.548049
Iterations [2760/25500], Train Loss: 0.547701, Validation Loss: 0.541807
Iterations [2770/25500], Train Loss: 0.549940, Validation Loss: 0.528823
Iterations [2780/25500], Train Loss: 0.535163, Validation Loss: 0.523645
Iterations [2790/25500], Train Loss: 0.555241, Validation Loss: 0.536831
Iterations [2800/25500], Train Loss: 0.534656, Validation Loss: 0.540415
Iterations [2810/25500], Train Loss: 0.521146, Validation Loss: 0.536764
Iterations [2820/25500], Train Loss: 0.533698, Validation Loss: 0.549162
Iterations [2830/25500], Train Loss: 0.539035, Validation Loss: 0.543584
Iterations [2840/25500], Train Loss: 0.541452, Validation Loss: 0.542344
Iterations [2850/25500], Train Loss: 0.523063, Validation Loss: 0.509738
Iterations [2860/25500], Train Loss: 0.533542, Validation Loss: 0.526961
Iterations [2870/25500], Train Loss: 0.501204, Validation Loss: 0.520497
Iterations [2880/25500], Train Loss: 0.516713, Validation Loss: 0.533652
Iterations [2890/25500], Train Loss: 0.509807, Validation Loss: 0.522133
Iterations [2900/25500], Train Loss: 0.528770, Validation Loss: 0.526384
Iterations [2910/25500], Train Loss: 0.519932, Validation Loss: 0.495086
Iterations [2920/25500], Train Loss: 0.528508, Validation Loss: 0.537898
Iterations [2930/25500], Train Loss: 0.523472, Validation Loss: 0.528413
Iterations [2940/25500], Train Loss: 0.506903, Validation Loss: 0.513218
Iterations [2950/25500], Train Loss: 0.511664, Validation Loss: 0.520964
Iterations [2960/25500], Train Loss: 0.502107, Validation Loss: 0.500169
Iterations [2970/25500], Train Loss: 0.516750, Validation Loss: 0.526036
Iterations [2980/25500], Train Loss: 0.510724, Validation Loss: 0.506131
Iterations [2990/25500], Train Loss: 0.513307, Validation Loss: 0.501266
Iterations [3000/25500], Train Loss: 0.520763, Validation Loss: 0.497080
Iterations [3010/25500], Train Loss: 0.510829, Validation Loss: 0.499011
Iterations [3020/25500], Train Loss: 0.503489, Validation Loss: 0.507945
Iterations [3030/25500], Train Loss: 0.501215, Validation Loss: 0.501612
Iterations [3040/25500], Train Loss: 0.497931, Validation Loss: 0.511212
Iterations [3050/25500], Train Loss: 0.479681, Validation Loss: 0.502374
Iterations [3060/25500], Train Loss: 0.491895, Validation Loss: 0.506344
Iterations [3070/25500], Train Loss: 0.497334, Validation Loss: 0.490341
Iterations [3080/25500], Train Loss: 0.514016, Validation Loss: 0.481683
Iterations [3090/25500], Train Loss: 0.510773, Validation Loss: 0.492046
Iterations [3100/25500], Train Loss: 0.489148, Validation Loss: 0.501086
Iterations [3110/25500], Train Loss: 0.490227, Validation Loss: 0.489461
Iterations [3120/25500], Train Loss: 0.492668, Validation Loss: 0.491578
Iterations [3130/25500], Train Loss: 0.487492, Validation Loss: 0.507614
Iterations [3140/25500], Train Loss: 0.483012, Validation Loss: 0.484054
Iterations [3150/25500], Train Loss: 0.484752, Validation Loss: 0.484700
Iterations [3160/25500], Train Loss: 0.485225, Validation Loss: 0.495057
Iterations [3170/25500], Train Loss: 0.470627, Validation Loss: 0.491003
Iterations [3180/25500], Train Loss: 0.475839, Validation Loss: 0.494119
Iterations [3190/25500], Train Loss: 0.472196, Validation Loss: 0.488867
Iterations [3200/25500], Train Loss: 0.497148, Validation Loss: 0.468866
Iterations [3210/25500], Train Loss: 0.497357, Validation Loss: 0.488911
Iterations [3220/25500], Train Loss: 0.470998, Validation Loss: 0.498681
Iterations [3230/25500], Train Loss: 0.485580, Validation Loss: 0.478166
Iterations [3240/25500], Train Loss: 0.472043, Validation Loss: 0.486051
Iterations [3250/25500], Train Loss: 0.459690, Validation Loss: 0.491366
Iterations [3260/25500], Train Loss: 0.473302, Validation Loss: 0.477148
Iterations [3270/25500], Train Loss: 0.476875, Validation Loss: 0.462521
Iterations [3280/25500], Train Loss: 0.460109, Validation Loss: 0.465697
Iterations [3290/25500], Train Loss: 0.455256, Validation Loss: 0.463621
Iterations [3300/25500], Train Loss: 0.464545, Validation Loss: 0.474158
Iterations [3310/25500], Train Loss: 0.485774, Validation Loss: 0.480298
Iterations [3320/25500], Train Loss: 0.458821, Validation Loss: 0.473203
Iterations [3330/25500], Train Loss: 0.467346, Validation Loss: 0.461977
Iterations [3340/25500], Train Loss: 0.461098, Validation Loss: 0.488617
Iterations [3350/25500], Train Loss: 0.468697, Validation Loss: 0.462043
Iterations [3360/25500], Train Loss: 0.463363, Validation Loss: 0.458440
Iterations [3370/25500], Train Loss: 0.470141, Validation Loss: 0.483374
Iterations [3380/25500], Train Loss: 0.451623, Validation Loss: 0.468829
Iterations [3390/25500], Train Loss: 0.452080, Validation Loss: 0.464164
Iterations [3400/25500], Train Loss: 0.467325, Validation Loss: 0.448041
Iterations [3410/25500], Train Loss: 0.439969, Validation Loss: 0.462833
Iterations [3420/25500], Train Loss: 0.450886, Validation Loss: 0.458479
Iterations [3430/25500], Train Loss: 0.465236, Validation Loss: 0.442943
Iterations [3440/25500], Train Loss: 0.456537, Validation Loss: 0.454194
Iterations [3450/25500], Train Loss: 0.471774, Validation Loss: 0.444526
Iterations [3460/25500], Train Loss: 0.434022, Validation Loss: 0.452066
Iterations [3470/25500], Train Loss: 0.450791, Validation Loss: 0.435350
Iterations [3480/25500], Train Loss: 0.453067, Validation Loss: 0.441428
Iterations [3490/25500], Train Loss: 0.458099, Validation Loss: 0.441465
Iterations [3500/25500], Train Loss: 0.466870, Validation Loss: 0.462223
Iterations [3510/25500], Train Loss: 0.437244, Validation Loss: 0.452485
Iterations [3520/25500], Train Loss: 0.452628, Validation Loss: 0.443947
Iterations [3530/25500], Train Loss: 0.434023, Validation Loss: 0.436853
Iterations [3540/25500], Train Loss: 0.436436, Validation Loss: 0.432311
Iterations [3550/25500], Train Loss: 0.448359, Validation Loss: 0.446280
Iterations [3560/25500], Train Loss: 0.434638, Validation Loss: 0.442720
Iterations [3570/25500], Train Loss: 0.419535, Validation Loss: 0.446631
Iterations [3580/25500], Train Loss: 0.444694, Validation Loss: 0.418786
Iterations [3590/25500], Train Loss: 0.435693, Validation Loss: 0.433821
Iterations [3600/25500], Train Loss: 0.450214, Validation Loss: 0.428646
Iterations [3610/25500], Train Loss: 0.423071, Validation Loss: 0.429212
Iterations [3620/25500], Train Loss: 0.410181, Validation Loss: 0.438490
Iterations [3630/25500], Train Loss: 0.421695, Validation Loss: 0.436236
Iterations [3640/25500], Train Loss: 0.434731, Validation Loss: 0.410309
Iterations [3650/25500], Train Loss: 0.454589, Validation Loss: 0.446464
Iterations [3660/25500], Train Loss: 0.419256, Validation Loss: 0.426335
Iterations [3670/25500], Train Loss: 0.425620, Validation Loss: 0.443738
Iterations [3680/25500], Train Loss: 0.419203, Validation Loss: 0.417672
Iterations [3690/25500], Train Loss: 0.425005, Validation Loss: 0.429173
Iterations [3700/25500], Train Loss: 0.420461, Validation Loss: 0.400275
Iterations [3710/25500], Train Loss: 0.421637, Validation Loss: 0.409846
Iterations [3720/25500], Train Loss: 0.421751, Validation Loss: 0.412908
Iterations [3730/25500], Train Loss: 0.396918, Validation Loss: 0.411837
Iterations [3740/25500], Train Loss: 0.433819, Validation Loss: 0.415060
Iterations [3750/25500], Train Loss: 0.420171, Validation Loss: 0.426462
Iterations [3760/25500], Train Loss: 0.422603, Validation Loss: 0.406514
Iterations [3770/25500], Train Loss: 0.411385, Validation Loss: 0.415537
Iterations [3780/25500], Train Loss: 0.426806, Validation Loss: 0.426589
Iterations [3790/25500], Train Loss: 0.422192, Validation Loss: 0.424341
Iterations [3800/25500], Train Loss: 0.408616, Validation Loss: 0.423258
Iterations [3810/25500], Train Loss: 0.403862, Validation Loss: 0.409765
Iterations [3820/25500], Train Loss: 0.406159, Validation Loss: 0.428742
Iterations [3830/25500], Train Loss: 0.408572, Validation Loss: 0.413471
Iterations [3840/25500], Train Loss: 0.393218, Validation Loss: 0.405329
Iterations [3850/25500], Train Loss: 0.393519, Validation Loss: 0.432154
Iterations [3860/25500], Train Loss: 0.413076, Validation Loss: 0.407566
Iterations [3870/25500], Train Loss: 0.400666, Validation Loss: 0.414169
Iterations [3880/25500], Train Loss: 0.392928, Validation Loss: 0.391877
Iterations [3890/25500], Train Loss: 0.404905, Validation Loss: 0.415047
